iter	Logloss
0	0.667640974
1	0.6485633737
2	0.6224642565
3	0.6085821199
4	0.5900951625
5	0.5732004378
6	0.5563241943
7	0.5426501276
8	0.5300748745
9	0.519239438
10	0.5073917331
11	0.4948195481
12	0.4879723785
13	0.4795371677
14	0.473558948
15	0.468058005
16	0.4582435809
17	0.4531382103
18	0.4475683194
19	0.445490744
20	0.4439022626
21	0.4383509877
22	0.4332202361
23	0.4302963903
24	0.4250344772
25	0.4240963401
26	0.4167718492
27	0.412508902
28	0.4095959384
29	0.409023851
30	0.4067752952
31	0.4033122019
32	0.4009965304
33	0.3982795893
34	0.3957580547
35	0.3937355826
36	0.3919969679
37	0.3888631143
38	0.3860780625
39	0.384974836
40	0.3833835055
41	0.382840807
42	0.3811833273
43	0.378986245
44	0.3760114818
45	0.3749127899
46	0.3728556081
47	0.37137954
48	0.3699773694
49	0.3684086871
50	0.3665635621
51	0.3648231045
52	0.3634476023
53	0.3616029861
54	0.3612465719
55	0.3598860501
56	0.3591945579
57	0.3584043516
58	0.3568129568
59	0.3544425809
60	0.3520964017
61	0.3501572332
62	0.3501223742
63	0.3484344303
64	0.3471688176
65	0.3462496529
66	0.344844595
67	0.3442909562
68	0.3437388685
69	0.3424420884
70	0.3413884181
71	0.3394532585
72	0.338446248
73	0.3381044368
74	0.3375917807
75	0.3371637375
76	0.335713432
77	0.3343339912
78	0.3338333682
79	0.3319952461
80	0.3305369169
81	0.328852051
82	0.327614267
83	0.3264750955
84	0.3251832761
85	0.3242422638
86	0.3232729003
87	0.322527966
88	0.3214191165
89	0.320620243
90	0.3199019284
91	0.3192109374
92	0.3183309954
93	0.3171524192
94	0.3158333964
95	0.3148366844
96	0.3133531809
97	0.3120852373
98	0.311297947
99	0.3103568953
100	0.3099004998
101	0.3093672848
102	0.3081673862
103	0.3068313211
104	0.3060855724
105	0.3057907496
106	0.3055302038
107	0.3036346561
108	0.3021294957
109	0.3018180518
110	0.3009922016
111	0.3000243134
112	0.2980405434
113	0.2971197245
114	0.2958220376
115	0.2954587705
116	0.2943036297
117	0.2931113571
118	0.2919267908
119	0.2910594375
120	0.2905845024
121	0.2899850601
122	0.2893259401
123	0.288438219
124	0.2880044103
125	0.2876300011
126	0.2869375294
127	0.28582504
128	0.2848892305
129	0.284033898
130	0.2830357629
131	0.2825015355
132	0.2816561135
133	0.2809593435
134	0.2801652568
135	0.2789112453
136	0.2781564851
137	0.2778278916
138	0.2770179451
139	0.2760608303
140	0.2751484201
141	0.2744242775
142	0.273425398
143	0.2723897893
144	0.2718009885
145	0.271443804
146	0.270297426
147	0.2696985276
148	0.2693859891
149	0.2681424047
150	0.2666299373
151	0.2660278742
152	0.265168713
153	0.2635553909
154	0.2630083273
155	0.2624291806
156	0.2619676331
157	0.261383326
158	0.260770346
159	0.2601871433
160	0.259261835
161	0.2575840313
162	0.2572162331
163	0.2559969571
164	0.255718225
165	0.2554909629
166	0.255321359
167	0.2547912792
168	0.2537367566
169	0.253596536
170	0.2529333171
171	0.2524588115
172	0.2519600694
173	0.2510935926
174	0.250938537
175	0.2496910675
176	0.2482677858
177	0.2480324779
178	0.2477521055
179	0.2463212562
180	0.2453180781
181	0.243997286
182	0.2436185605
183	0.2421009051
184	0.2410556107
185	0.2406478667
186	0.2401411738
187	0.2394505159
188	0.2385079139
189	0.237842778
190	0.2373992506
191	0.2373438113
192	0.23720601
193	0.2360179791
194	0.2354704421
195	0.2341946142
196	0.2334294374
197	0.2328620834
198	0.2316349468
199	0.230949042
200	0.2304287944
201	0.2298709847
202	0.2291329567
203	0.2288927597
204	0.2284574309
205	0.2278448526
206	0.2265280876
207	0.2260574351
208	0.2254451101
209	0.2246649369
210	0.2245544262
211	0.2240551981
212	0.2235329873
213	0.2235078802
214	0.2224502356
215	0.2220687672
216	0.2213629531
217	0.2203345585
218	0.2191076228
219	0.2189550873
220	0.2181660469
221	0.2175006111
222	0.2167352699
223	0.2155560022
224	0.2152781591
225	0.2149623099
226	0.2146743961
227	0.2143101035
228	0.2139493959
229	0.2130418222
230	0.2120655957
231	0.2117733455
232	0.21118215
233	0.2106893765
234	0.2100837124
235	0.2098969064
236	0.2094113574
237	0.2089315909
238	0.2087045364
239	0.2082484677
240	0.2079782959
241	0.2073533695
242	0.2063982773
243	0.2059981417
244	0.2056483596
245	0.2050957
246	0.204531654
247	0.203938417
248	0.20332459
